ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
17252,332,30-34,Man,Other,No,No,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,250-999 employees,0,No (we do not use ML methods),"7,500-9,999",$100-$999,,
17253,438,35-39,Man,India,No,No,5-10 years,1-2 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Accounting/Finance,"10,000 or more employees",5-9,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$0 ($USD),,
17254,367,22-24,Man,France,No,Yes,5-10 years,2-3 years,,Research Scientist,Academics/Education,250-999 employees,,,,,,
17255,1227,60-69,Man,United States of America,No,No,10-20 years,2-3 years,,Other,Computers/Technology,"10,000 or more employees",1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",$100-$999,,Never
17256,980,25-29,Man,India,No,,5-10 years,4-5 years, Huggingface Models ,Data Scientist,Computers/Technology,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999", Oracle Cloud ,Never
17257,1519,35-39,Woman,India,No,,,,,,,,,,,,,
17258,696,30-34,Woman,Spain,No,Yes,5-10 years,Under 1 year,,Currently not employed,,,,,,,,
17259,1054,25-29,Woman,India,No,Yes,I have never written code,,,Research Scientist,Computers/Technology,50-249 employees,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$1-$99,,
17260,324,30-34,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
17261,170,18-21,Woman,India,Yes,,I have never written code,,,,,,,,,,,
17262,764,45-49,Woman,Japan,No,Yes,10-20 years,4-5 years,,Research Scientist,Academics/Education,"10,000 or more employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$1000-$9,999",,Never
17263,353,30-34,Man,Other,No,,3-5 years,2-3 years, PyTorch Hub ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,50-249 employees,1-2,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$0 ($USD),,
17264,313,25-29,Man,Philippines,No,,< 1 years,I do not use machine learning methods,,Engineer (non-software),Manufacturing/Fabrication,250-999 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
17265,662,25-29,Man,France,No,Yes,10-20 years,4-5 years,,Data Scientist,Computers/Technology,50-249 employees,15-19,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999","$1000-$9,999",,Never
17266,329,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Yes,Yes,1-3 years,2-3 years, Timm ,,,,,,,,,
17267,505,40-44,Man,United States of America,No,Yes,5-10 years,3-4 years,,Other,Other,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),"200,000-249,999","$1000-$9,999",,Never
17268,423,25-29,Woman,India,No,Yes,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"300,000-499,999",$1-$99,,
17269,335,22-24,Man,Brazil,Yes,Yes,5-10 years,3-4 years,,,,,,,,,,
17270,455,40-44,Man,Zimbabwe,No,Yes,10-20 years,,,,,,,,,,,
17271,302,40-44,Man,Russia,Yes,,1-3 years,1-2 years,,,,,,,,,,
17272,178,45-49,Man,Colombia,Yes,Yes,5-10 years,Under 1 year,,,,,,,,,,
17273,1964,25-29,Man,Pakistan,No,,,,,,,,,,,,,
17274,549,25-29,Woman,United States of America,No,,3-5 years,3-4 years,,Software Engineer,Computers/Technology,"10,000 or more employees",10-14,No (we do not use ML methods),"40,000-49,999",$100-$999,,Never
17275,251,25-29,Man,United States of America,No,,1-3 years,1-2 years,,Data Administrator,Non-profit/Service,250-999 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$100-$999,,Once
17276,458,30-34,Man,United States of America,No,Yes,3-5 years,3-4 years,,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",$100-$999,,Never
17277,168,18-21,Man,Japan,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17278,33164,25-29,Man,Taiwan,No,No,3-5 years,Under 1 year,,Data Engineer,Computers/Technology,"1000-9,999 employees",5-9,We are exploring ML methods (and may one day put a model into production),,$100-$999, Alibaba Cloud ,Never
17279,377,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17280,807,30-34,Man,South Korea,No,Yes,3-5 years,4-5 years, Kaggle datasets ,Data Scientist,Accounting/Finance,"1000-9,999 employees",10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",,6-25 times
17281,480,18-21,Woman,China,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17282,1261,40-44,Man,India,No,No,5-10 years,5-10 years,,Data Scientist,Academics/Education,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$100-$999,,Never
17283,247,22-24,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
17284,661,40-44,Man,Sri Lanka,No,Yes,3-5 years,Under 1 year,,Research Scientist,Academics/Education,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$100-$999,,Never
17285,534,18-21,Man,Nigeria,Yes,,1-3 years,1-2 years,,,,,,,,,,
17286,299,30-34,Man,India,Yes,No,I have never written code,,,,,,,,,,,
17287,338,25-29,Man,Singapore,No,,5-10 years,,,,,,,,,,,
17288,400,22-24,Man,Nigeria,Yes,,1-3 years,1-2 years,,,,,,,,,,
17289,263,25-29,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
17290,200,40-44,Man,Brazil,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
17291,319,22-24,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
17292,1124,25-29,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
17293,754,22-24,Woman,China,Yes,,,,,,,,,,,,,
17294,185,18-21,Man,India,Yes,Yes,1-3 years,,,,,,,,,,,
17295,620,25-29,Man,France,No,Yes,< 1 years,Under 1 year,,Other,Retail/Sales,50-249 employees,0,No (we do not use ML methods),"20,000-24,999",$1-$99,,Never
17296,130,25-29,Man,United States of America,No,No,3-5 years,,,,,,,,,,,
17297,775,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17298,1168,22-24,Man,India,No,No,3-5 years,Under 1 year,,Software Engineer,Computers/Technology,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$100-$999,They all had a similarly enjoyable developer experience,Never
17299,168,18-21,Man,India,Yes,No,,,,,,,,,,,,
17300,642,50-54,Woman,South Africa,No,Yes,< 1 years,Under 1 year,,Other,Government/Public Service,"10,000 or more employees",0,No (we do not use ML methods),"50,000-59,999",$0 ($USD),,
17301,445,30-34,Man,India,No,No,I have never written code,,,Teacher / professor,Academics/Education,50-249 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
17302,645,50-54,Man,United States of America,No,,5-10 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,250-999 employees,1-2,No (we do not use ML methods),"90,000-99,999",$100-$999,,Never
17303,401,25-29,Man,United States of America,No,,5-10 years,4-5 years,,Data Scientist,Energy/Mining,250-999 employees,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",$1-$99,,Never
17304,162,22-24,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
17305,299,18-21,Man,India,Yes,,5-10 years,Under 1 year, NVIDIA NGC models  ,,,,,,,,,
17306,318,25-29,Man,China,No,No,1-3 years,1-2 years, Timm ,Software Engineer,Computers/Technology,0-49 employees,,,,,,
17307,40746,35-39,Man,China,No,,5-10 years,3-4 years,,Research Scientist,Academics/Education,50-249 employees,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",,Never
17308,874,22-24,Woman,India,No,No,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
17309,576,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
17310,809,55-59,Man,India,No,,20+ years,5-10 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$100-$999, Amazon Web Services (AWS) ,Never
17311,398,25-29,Woman,India,No,,3-5 years,4-5 years,,Data Scientist,Accounting/Finance,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",$0 ($USD),,
17312,336,18-21,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
17313,356,18-21,Woman,India,Yes,No,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
17314,448,25-29,Man,Nigeria,Yes,,3-5 years,3-4 years, Kaggle datasets ,,,,,,,,,
17315,234,25-29,Man,India,Yes,Yes,1-3 years,Under 1 year,,,,,,,,,,
17316,450,40-44,Man,United States of America,No,Yes,20+ years,10-20 years,,Data Scientist,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",$0 ($USD),,
17317,293,50-54,Woman,Thailand,No,,I have never written code,,,Currently not employed,,,,,,,,
17318,1216161,25-29,Man,Other,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
17319,366,30-34,Man,India,No,No,5-10 years,4-5 years,,Data Scientist,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)",,,,
17320,204,18-21,Man,India,Yes,No,,,,,,,,,,,,
17321,277,25-29,Woman,United States of America,No,No,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,50-249 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$0 ($USD),,
17322,3341,25-29,Man,Brazil,No,,< 1 years,I do not use machine learning methods,,Other,Shipping/Transportation,0-49 employees,0,No (we do not use ML methods),,,,
17323,589,30-34,Man,India,No,,5-10 years,5-10 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,0-49 employees,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
17324,202,18-21,Man,Russia,Yes,No,1-3 years,1-2 years,,,,,,,,,,
17325,751,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
17326,3079,18-21,Woman,Mexico,Yes,,,,,,,,,,,,,
17327,230,30-34,Man,South Korea,No,,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
17328,818,25-29,Woman,Zimbabwe,No,,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",$0 ($USD),,
17329,877,40-44,Man,Colombia,No,No,10-20 years,1-2 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"1000-9,999 employees",15-19,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",$100-$999, Microsoft Azure ,Never
17330,3705,22-24,Man,India,No,No,I have never written code,,,,,,,,,,,
17331,1013,55-59,Man,Indonesia,No,Yes,3-5 years,2-3 years, Kaggle datasets ,Teacher / professor,Academics/Education,250-999 employees,5-9,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
17332,1170,25-29,Man,India,No,,< 1 years,Under 1 year,,Engineer (non-software),Manufacturing/Fabrication,50-249 employees,0,No (we do not use ML methods),"3,000-3,999",$100-$999,,Never
17333,1025,40-44,Man,Canada,No,,10-20 years,1-2 years,,Data Engineer,Energy/Mining,250-999 employees,5-9,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999","$10,000-$99,999",,Never
17334,242,25-29,Man,Ghana,No,No,I have never written code,,,Other,Accounting/Finance,"1000-9,999 employees",20+,I do not know,$0-999,$0 ($USD),,
17335,209,22-24,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17336,501,35-39,Woman,United States of America,Yes,,I have never written code,,,,,,,,,,,
17337,6574,30-34,Man,Pakistan,No,Yes,10-20 years,1-2 years, Kaggle datasets ,Data Administrator,Other,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$100-$999, Amazon Web Services (AWS) ,Never
17338,489,25-29,Man,United States of America,No,No,3-5 years,2-3 years,,Research Scientist,Accounting/Finance,"1000-9,999 employees",5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","300,000-499,999",$100-$999,,Once
17339,1059,50-54,Man,Japan,No,,20+ years,3-4 years,,Software Engineer,Computers/Technology,"1000-9,999 employees",10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",,Never
17340,940,25-29,Man,India,No,No,1-3 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,50-249 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","$500,000-999,999","$1000-$9,999", Amazon Web Services (AWS) ,2-5 times
17341,258,30-34,Prefer not to say,India,No,Yes,5-10 years,,,,,,,,,,,
17342,247,30-34,Man,China,Yes,Yes,5-10 years,5-10 years, PyTorch Hub ,,,,,,,,,
17343,573,18-21,Man,Philippines,Yes,,5-10 years,3-4 years,  TensorFlow Hub ,,,,,,,,,
17344,244,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17345,611,25-29,Woman,India,No,No,1-3 years,Under 1 year,,Teacher / professor,Academics/Education,50-249 employees,3-4,No (we do not use ML methods),"3,000-3,999",$1-$99,,Never
17346,585,35-39,Man,Brazil,No,Yes,5-10 years,2-3 years,,Teacher / professor,Academics/Education,250-999 employees,1-2,I do not know,"1,000-1,999",$0 ($USD),,
17347,580,55-59,Woman,United States of America,No,No,1-3 years,I do not use machine learning methods,,Teacher / professor,Academics/Education,"10,000 or more employees",0,I do not know,"50,000-59,999",$0 ($USD),,
17348,421,18-21,Man,Taiwan,Yes,No,3-5 years,1-2 years,,,,,,,,,,
17349,345,22-24,Man,Sri Lanka,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
17350,363,40-44,Man,South Korea,No,,1-3 years,,,,,,,,,,,
17351,180,25-29,Nonbinary,United States of America,Yes,No,5-10 years,Under 1 year,,,,,,,,,,
17352,690,40-44,Man,Colombia,No,No,5-10 years,4-5 years,,Data Engineer,Computers/Technology,"10,000 or more employees",5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$100-$999, Microsoft Azure ,2-5 times
17353,902,30-34,Man,China,No,Yes,1-3 years,2-3 years, PyTorch Hub ,Data Scientist,Computers/Technology,50-249 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",$100-$999, Google Cloud Platform (GCP) ,2-5 times
17354,415,25-29,Man,India,No,,< 1 years,Under 1 year,,Other,Retail/Sales,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)",,,,
17355,141,18-21,Woman,India,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
17356,717,30-34,Man,Brazil,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
17357,247,40-44,Man,United States of America,No,Yes,10-20 years,I do not use machine learning methods,,Other,Medical/Pharmaceutical,250-999 employees,0,No (we do not use ML methods),"200,000-249,999",$100-$999,,
17358,183,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17359,1080,40-44,Man,Other,No,Yes,I have never written code,,,Currently not employed,,,,,,,,
17360,2355,22-24,Man,Pakistan,Yes,,I have never written code,,,,,,,,,,,
17361,135,22-24,Man,India,No,,,,,,,,,,,,,
17362,787,22-24,Woman,India,Yes,No,< 1 years,2-3 years,,,,,,,,,,
17363,233,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17364,166,25-29,Man,Other,Yes,,,,,,,,,,,,,
17365,1809,25-29,Man,Kenya,No,,I have never written code,,,"Manager (Program, Project, Operations, Executive-level, etc)",Energy/Mining,0-49 employees,10-14,No (we do not use ML methods),"15,000-19,999",$100-$999,,
17366,172,18-21,Woman,India,Yes,,3-5 years,1-2 years,,,,,,,,,,
17367,272,35-39,Man,Australia,No,,10-20 years,2-3 years,,Software Engineer,Computers/Technology,0-49 employees,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","$1000-$9,999",,More than 25 times
17368,162,25-29,Man,India,No,,< 1 years,I do not use machine learning methods,,,,,,,,,,
17369,334,40-44,Man,United Arab Emirates,No,,3-5 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"1000-9,999 employees",3-4,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
17370,601,35-39,Woman,United States of America,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
17371,304,22-24,Woman,India,No,No,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
17372,610,18-21,Man,India,Yes,,3-5 years,2-3 years,,,,,,,,,,
17373,361,25-29,Man,India,Yes,Yes,5-10 years,Under 1 year,,,,,,,,,,
17374,337,18-21,Man,Other,Yes,,< 1 years,Under 1 year,,,,,,,,,,
17375,597,60-69,Man,United States of America,No,Yes,10-20 years,5-10 years, Kaggle datasets ,Data Scientist,Non-profit/Service,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","$1000-$9,999",,Never
17376,428,45-49,Man,Spain,No,No,10-20 years,2-3 years,,Software Engineer,Marketing/CRM,0-49 employees,1-2,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$100-$999, Microsoft Azure ,2-5 times
